Actual_Salary,Predicted_Salary
100000.0,103492.66739059881
100000.0,124897.00345130933
50000.0,51648.89842093548
110000.0,108303.01355834863
105000.0,106075.50444023196
95000.0,103492.66739059881
45000.0,49168.43806409997
55000.0,59305.28734345597
180000.0,171314.45330342904
40000.0,56283.4183975296
40000.0,42360.447383499486
120000.0,124897.00345130933
120000.0,106075.50444023196
140000.0,159367.01105935965
100000.0,96378.03630515595
180000.0,172258.35999744662
130000.0,99086.59416789716
65000.0,106294.80563563514
45000.0,49168.43806409997
55000.0,42360.447383499486
90000.0,87163.70091767638
60000.0,59184.646967441215
75000.0,59630.46549697295
30000.0,39604.51261144782
170000.0,198210.28791852618
115000.0,93090.6008718573
150000.0,144892.18339429697
180000.0,171314.45330342904
180000.0,172258.35999744662
35000.0,39604.51261144782
120000.0,105677.5526052106
170000.0,172258.35999744662
120000.0,97068.4408058859
140000.0,145567.3520226823
150000.0,140050.39068035063
45000.0,56283.4183975296
95000.0,96378.03630515595
65000.0,97068.4408058859
95000.0,97670.35971975213
35000.0,39604.51261144782
80000.0,97068.4408058859
60000.0,49493.61621761695
130000.0,99003.49725829398
60000.0,58674.33909735584
40000.0,42360.447383499486
50000.0,49168.43806409997
140000.0,121760.03692587941
40000.0,42360.447383499486
140000.0,156460.27479782142
90000.0,92117.64212111525
160000.0,142782.89747253692
40000.0,42360.447383499486
80000.0,51974.07657445246
95000.0,99003.49725829398
100000.0,91799.7871265978
70000.0,59490.41706002437
100000.0,99003.49725829398
50000.0,49493.61621761695
60000.0,80578.70624425095
120000.0,106968.56782058105
80000.0,115510.81419038352
85000.0,88552.15949176674
170000.0,179582.91581705227
75000.0,80903.88439776794
95000.0,99791.43663925231
